episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD
0,1224,16515.397303678426,28,20,1,97,2378.0000000000027,1.6380718954248366,94.13807189542483,0,0.27369281045751637,1.5359477124183005,2.414215686274509,0
1,1076,12849.739087863258,28,16,1,97,3858.0,3.9459417596034694,92.22041511771995,0,0.201363073110285,1.4831164807930608,2.149163568773234,0
2,1018,11465.893838132844,28,18,1,97,3315.9999999999914,3.1300232184318624,90.06519021253793,0,0.12502232541525277,2.531702089658867,4.148062153956063,0
3,999,12785.336384409311,28,18,0,100,3365.999999999992,3.5854035854035855,89.92628992628994,0,0.15470015470015464,2.416052416052416,3.9175539175539167,0
4,1058,14719.236562807264,28,16,0,100,3309.999999999993,2.4417139256458724,90.75693131695022,0,0.1378386893509767,2.725267800882168,3.938248267170762,0
5,980,13069.347420236474,28,12,0,100,3165.9999999999936,3.002915451895044,92.06997084548107,0,0.10204081632653059,2.1610787172011663,2.66399416909621,0
6,1170,14972.80611543125,28,22,1,97,2519.9999999999945,3.3855650522317187,92.09876543209877,0,0.560303893637227,1.9183285849952516,2.0370370370370368,0
7,980,12834.408167365049,28,16,0,100,3983.999999999992,3.860544217687075,89.17091836734693,0,0.15731292517006806,2.3596938775510203,4.451530612244897,0
8,1059,14337.263969361482,28,19,1,97,2072.0000000000014,2.6170241467691895,93.80817482800487,0,0.13489815189531904,1.5333423265434598,1.9065605467871758,0
9,939,11772.204228571232,28,17,0,100,2839.9999999999955,3.3384266333287025,90.8459508265037,0,0.27781636338380333,2.579061906746307,2.958744270037505,0
10,1092,15356.384736507976,28,19,0,100,3995.999999999991,3.772021629164487,88.56619570905285,0,0.11337868480725626,2.72108843537415,4.827315541601257,0
11,957,12259.9200669843,28,15,0,100,3451.999999999995,2.0773249738766983,91.66144200626957,0,0.1462904911180773,2.2152560083594564,3.899686520376175,0
12,1103,15691.977235501852,28,21,0,100,2049.9999999999923,1.717803120675669,94.19764279238441,0,0.0906618313689937,1.3790141718757456,2.6148780836951846,0
13,1148,16376.579416135753,28,19,0,100,2253.9999999999986,2.468060394889663,94.69885515181683,0,0.22399203583872568,1.0826281732205076,1.526464244234279,0
14,918,11577.72862975655,28,12,0,100,3415.999999999993,3.1901649548708373,91.56162464985992,0,0.17117958294428887,2.349828820417056,2.727201991907874,0
15,1148,16060.717373903175,28,23,0,100,3415.999999999996,3.1717565074810414,90.64357450297192,0,0.6302521008403362,1.9983603197376514,3.556056568969051,0
